2016.11.17 10:01 B C:\Users\marioalejandro\Desktop\Zodiac\public\img\correct.png --> www.bluewolf.com.mx /public_html/Zodiac/public/img correct.png
2016.11.17 10:01 B C:\Users\marioalejandro\Desktop\Zodiac\public\img\favicon.ico --> www.bluewolf.com.mx /public_html/Zodiac/public/img favicon.ico
2016.11.17 10:01 B C:\Users\marioalejandro\Desktop\Zodiac\public\img\incorrect.png --> www.bluewolf.com.mx /public_html/Zodiac/public/img incorrect.png
2016.11.17 10:01 B C:\Users\marioalejandro\Desktop\Zodiac\public\img\logo.png --> www.bluewolf.com.mx /public_html/Zodiac/public/img logo.png
2016.11.17 10:01 B C:\Users\marioalejandro\Desktop\Zodiac\public\img\logo1.jpg --> www.bluewolf.com.mx /public_html/Zodiac/public/img logo1.jpg
2016.11.17 10:01 B C:\Users\marioalejandro\Desktop\Zodiac\public\img\logonav.jpg --> www.bluewolf.com.mx /public_html/Zodiac/public/img logonav.jpg
2016.11.17 10:01 B C:\Users\marioalejandro\Desktop\Zodiac\public\img\Thumbs.db --> www.bluewolf.com.mx /public_html/Zodiac/public/img Thumbs.db
2016.12.26 13:39 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\img\correct.png --> www.bluewolf.com.mx /public_html/zodiac/public/img correct.png
2016.12.26 13:39 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\img\favicon.ico --> www.bluewolf.com.mx /public_html/zodiac/public/img favicon.ico
2016.12.26 13:39 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\img\incorrect.png --> www.bluewolf.com.mx /public_html/zodiac/public/img incorrect.png
2016.12.26 13:39 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\img\logo.png --> www.bluewolf.com.mx /public_html/zodiac/public/img logo.png
2016.12.26 13:39 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\img\logo1.jpg --> www.bluewolf.com.mx /public_html/zodiac/public/img logo1.jpg
2016.12.26 13:39 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\img\logonav.jpg --> www.bluewolf.com.mx /public_html/zodiac/public/img logonav.jpg
2016.12.26 13:39 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\img\Thumbs.db --> www.bluewolf.com.mx /public_html/zodiac/public/img Thumbs.db
2017.02.12 16:45 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\img\WS_FTP.LOG <-- bluewolf Godaddy /public_html/zodiac/public/img WS_FTP.LOG
2017.07.13 13:37 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\img\WS_FTP.LOG --> www.bluewolf.com.mx /public_html/zodiac/eng/public/img WS_FTP.LOG
2017.07.13 13:37 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\img\desktop.ini --> www.bluewolf.com.mx /public_html/zodiac/eng/public/img desktop.ini
2017.07.13 13:37 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\img\Thumbs.db --> www.bluewolf.com.mx /public_html/zodiac/eng/public/img Thumbs.db
2017.07.13 13:37 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\img\logonav.jpg --> www.bluewolf.com.mx /public_html/zodiac/eng/public/img logonav.jpg
2017.07.13 13:37 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\img\logo1.jpg --> www.bluewolf.com.mx /public_html/zodiac/eng/public/img logo1.jpg
2017.07.13 13:37 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\img\logo.png --> www.bluewolf.com.mx /public_html/zodiac/eng/public/img logo.png
2017.07.13 13:37 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\img\incorrect.png --> www.bluewolf.com.mx /public_html/zodiac/eng/public/img incorrect.png
2017.07.13 13:37 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\img\favicon.ico --> www.bluewolf.com.mx /public_html/zodiac/eng/public/img favicon.ico
2017.07.13 13:37 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\img\correct.png --> www.bluewolf.com.mx /public_html/zodiac/eng/public/img correct.png
2017.10.31 15:58 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\img\correct.png --> www.bluewolf.com.mx /public_html/iotdemo/public/img correct.png
2017.10.31 15:58 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\img\desktop.ini --> www.bluewolf.com.mx /public_html/iotdemo/public/img desktop.ini
2017.10.31 15:58 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\img\favicon.ico --> www.bluewolf.com.mx /public_html/iotdemo/public/img favicon.ico
2017.10.31 15:58 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\img\incorrect.png --> www.bluewolf.com.mx /public_html/iotdemo/public/img incorrect.png
2017.10.31 15:58 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\img\logo.png --> www.bluewolf.com.mx /public_html/iotdemo/public/img logo.png
2017.10.31 15:58 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\img\logo1.jpg --> www.bluewolf.com.mx /public_html/iotdemo/public/img logo1.jpg
2017.10.31 15:58 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\img\logonav.jpg --> www.bluewolf.com.mx /public_html/iotdemo/public/img logonav.jpg
2017.10.31 15:58 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\img\Thumbs.db --> www.bluewolf.com.mx /public_html/iotdemo/public/img Thumbs.db
2017.10.31 15:58 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\img\WS_FTP.LOG --> www.bluewolf.com.mx /public_html/iotdemo/public/img WS_FTP.LOG
