2016.11.17 10:00 B C:\Users\marioalejandro\Desktop\Zodiac\public\css\font-awesome\fonts\fontawesome-webfont.eot --> www.bluewolf.com.mx /public_html/Zodiac/public/css/font-awesome/fonts fontawesome-webfont.eot
2016.11.17 10:00 B C:\Users\marioalejandro\Desktop\Zodiac\public\css\font-awesome\fonts\fontawesome-webfont.svg --> www.bluewolf.com.mx /public_html/Zodiac/public/css/font-awesome/fonts fontawesome-webfont.svg
2016.11.17 10:00 B C:\Users\marioalejandro\Desktop\Zodiac\public\css\font-awesome\fonts\fontawesome-webfont.ttf --> www.bluewolf.com.mx /public_html/Zodiac/public/css/font-awesome/fonts fontawesome-webfont.ttf
2016.11.17 10:00 B C:\Users\marioalejandro\Desktop\Zodiac\public\css\font-awesome\fonts\fontawesome-webfont.woff --> www.bluewolf.com.mx /public_html/Zodiac/public/css/font-awesome/fonts fontawesome-webfont.woff
2016.11.17 10:00 B C:\Users\marioalejandro\Desktop\Zodiac\public\css\font-awesome\fonts\FontAwesome.otf --> www.bluewolf.com.mx /public_html/Zodiac/public/css/font-awesome/fonts FontAwesome.otf
2016.12.26 13:38 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\css\font-awesome\fonts\fontawesome-webfont.eot --> www.bluewolf.com.mx /public_html/zodiac/public/css/font-awesome/fonts fontawesome-webfont.eot
2016.12.26 13:38 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\css\font-awesome\fonts\fontawesome-webfont.svg --> www.bluewolf.com.mx /public_html/zodiac/public/css/font-awesome/fonts fontawesome-webfont.svg
2016.12.26 13:38 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\css\font-awesome\fonts\fontawesome-webfont.ttf --> www.bluewolf.com.mx /public_html/zodiac/public/css/font-awesome/fonts fontawesome-webfont.ttf
2016.12.26 13:38 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\css\font-awesome\fonts\fontawesome-webfont.woff --> www.bluewolf.com.mx /public_html/zodiac/public/css/font-awesome/fonts fontawesome-webfont.woff
2016.12.26 13:38 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\css\font-awesome\fonts\FontAwesome.otf --> www.bluewolf.com.mx /public_html/zodiac/public/css/font-awesome/fonts FontAwesome.otf
2017.02.12 16:44 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\css\font-awesome\fonts\WS_FTP.LOG <-- bluewolf Godaddy /public_html/zodiac/public/css/font-awesome/fonts WS_FTP.LOG
2017.07.13 13:38 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\css\font-awesome\fonts\WS_FTP.LOG --> www.bluewolf.com.mx /public_html/zodiac/eng/public/css/font-awesome/fonts WS_FTP.LOG
2017.07.13 13:38 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\css\font-awesome\fonts\desktop.ini --> www.bluewolf.com.mx /public_html/zodiac/eng/public/css/font-awesome/fonts desktop.ini
2017.07.13 13:38 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\css\font-awesome\fonts\FontAwesome.otf --> www.bluewolf.com.mx /public_html/zodiac/eng/public/css/font-awesome/fonts FontAwesome.otf
2017.07.13 13:38 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\css\font-awesome\fonts\fontawesome-webfont.woff --> www.bluewolf.com.mx /public_html/zodiac/eng/public/css/font-awesome/fonts fontawesome-webfont.woff
2017.07.13 13:38 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\css\font-awesome\fonts\fontawesome-webfont.ttf --> www.bluewolf.com.mx /public_html/zodiac/eng/public/css/font-awesome/fonts fontawesome-webfont.ttf
2017.07.13 13:38 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\css\font-awesome\fonts\fontawesome-webfont.svg --> www.bluewolf.com.mx /public_html/zodiac/eng/public/css/font-awesome/fonts fontawesome-webfont.svg
2017.07.13 13:38 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\css\font-awesome\fonts\fontawesome-webfont.eot --> www.bluewolf.com.mx /public_html/zodiac/eng/public/css/font-awesome/fonts fontawesome-webfont.eot
2017.10.31 15:57 B C:\Users\marioalejandro\Google Drive\proyectos\zodiac\public\css\font-awesome\fonts\desktop.ini --> www.bluewolf.com.mx /public_html/iotdemo/public/css/font-awesome/fonts desktop.ini
